DrugName,DrugID_ChEMBL,DrugID_DrugBank,DrugSMILES,TargetName,Accession,TargetGeneSymbol_Entrez,Swissprot,Organism
dasatinib,CHEMBL1421,DB01254,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,Serine/threonine-protein kinase NLK,Q9UBE8,NLK,NLK_HUMAN,Homo sapiens
dasatinib,CHEMBL1421,DB01254,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,Mitogen-activated protein kinase kinase kinase kinase 2,Q12851,MAP4K2,M4K2_HUMAN,Homo sapiens
dasatinib,CHEMBL1421,DB01254,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,Serine/threonine-protein kinase SIK1,P57059,SIK1,SIK1_HUMAN,Homo sapiens
daunorubicin,CHEMBL178,DB00694,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1,DNA topoisomerase 2-alpha,P11388,TOP2A,TOP2A_HUMAN,Homo sapiens
daunorubicin,CHEMBL178,DB00694,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1,Multidrug resistance-associated protein 6,O95255,ABCC6,MRP6_HUMAN,Homo sapiens
daunorubicin,CHEMBL178,DB00694,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1,ATP-binding cassette sub-family G member 2,Q9UNQ0,ABCG2,ABCG2_HUMAN,Homo sapiens
daunorubicin,CHEMBL178,DB00694,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1,Multidrug resistance-associated protein 1,P33527,ABCC1,MRP1_HUMAN,Homo sapiens
daunorubicin,CHEMBL178,DB00694,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1,Multidrug resistance protein 1,P08183,ABCB1,MDR1_HUMAN,Homo sapiens
daunorubicin,CHEMBL178,DB00694,COC1=C2C(=O)C3=C(C(O)=C4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C4=C3O)C(C)=O)C(=O)C2=CC=C1,72 kDa type IV collagenase,P08253,MMP2,MMP2_HUMAN,Homo sapiens
daunorubicinol,NA,NA,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)[C@H](C)O)C(O)=C3C(=O)C2=CC=C1,Multidrug resistance-associated protein 6,O95255,ABCC6,MRP6_HUMAN,Homo sapiens
daunorubicinol,NA,NA,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)[C@H](C)O)C(O)=C3C(=O)C2=CC=C1,ATP-binding cassette sub-family G member 2,Q9UNQ0,ABCG2,ABCG2_HUMAN,Homo sapiens
daunorubicinol,NA,NA,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)[C@H](C)O)C(O)=C3C(=O)C2=CC=C1,Multidrug resistance-associated protein 1,P33527,ABCC1,MRP1_HUMAN,Homo sapiens
daunorubicinol,NA,NA,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)[C@H](C)O)C(O)=C3C(=O)C2=CC=C1,DNA topoisomerase 2-alpha,P11388,TOP2A,TOP2A_HUMAN,Homo sapiens
daunorubicinol,NA,NA,COC1=C2C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)[C@H](C)O)C(O)=C3C(=O)C2=CC=C1,Multidrug resistance protein 1,P08183,ABCB1,MDR1_HUMAN,Homo sapiens
debrisoquine,CHEMBL169901,DB04840,NC(=N)N1CCC2=CC=CC=C2C1,Amine oxidase [flavin-containing] A,P21397,MAOA,AOFA_HUMAN,Homo sapiens
debrisoquine,CHEMBL169901,DB04840,NC(=N)N1CCC2=CC=CC=C2C1,Amine oxidase [flavin-containing] B,P27338,MAOB,AOFB_HUMAN,Homo sapiens
decamethonium,CHEMBL1134,DB01245,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Muscarinic acetylcholine receptor M2,P08172,CHRM2,ACM2_HUMAN,Homo sapiens
decamethonium,CHEMBL1134,DB01245,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Acetylcholinesterase,P22303,ACHE,ACES_HUMAN,Homo sapiens
decamethonium,CHEMBL1134,DB01245,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Histamine H3 receptor,Q9Y5N1,HRH3,HRH3_HUMAN,Homo sapiens
decamethonium,CHEMBL1134,DB01245,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Muscle-type nicotinic acetylcholine receptor,P02708,CHRNA1,ACHA_HUMAN,Homo sapiens
decamethonium,CHEMBL1134,DB01245,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Muscle-type nicotinic acetylcholine receptor,P07510,CHRNB1,ACHB_HUMAN,Homo sapiens
decamethonium,CHEMBL1134,DB01245,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Muscle-type nicotinic acetylcholine receptor,P11230,CHRND,ACHD_HUMAN,Homo sapiens
decamethonium,CHEMBL1134,DB01245,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Muscle-type nicotinic acetylcholine receptor,Q04844,CHRNE,ACHE_HUMAN,Homo sapiens
decamethonium,CHEMBL1134,DB01245,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Muscle-type nicotinic acetylcholine receptor,Q07001,CHRNG,ACHG_HUMAN,Homo sapiens
decitabine,CHEMBL1201129,DB01262,NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1,DNA (cytosine-5)-methyltransferase 1,P26358,DNMT1,DNMT1_HUMAN,Homo sapiens
decitabine,CHEMBL1201129,DB01262,NC1=NC(=O)N(C=N1)[C@H]1C[C@H](O)[C@@H](CO)O1,DNA (cytosine-5)-methyltransferase 3A,Q9Y6K1,DNMT3A,DNM3A_HUMAN,Homo sapiens
deferoxamine,CHEMBL556,DB00746,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,Hypoxia-inducible factor 1-alpha,Q16665,HIF1A,HIF1A_HUMAN,Homo sapiens
degarelix,CHEMBL415606,DB06699,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC=C(NC(N)=O)C=C1)NC(=O)[C@H](CC1=CC=C(NC(=O)[C@@H]2CC(=O)NC(=O)N2)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Gonadotropin-releasing hormone receptor,P30968,GNRHR,GNRHR_HUMAN,Homo sapiens
delapril,CHEMBL589583,NA,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N(CC(O)=O)C1CC2=C(C1)C=CC=C2,Angiotensin-converting enzyme,P12821,ACE,ACE_HUMAN,Homo sapiens
delavirdine,CHEMBL593,DB00705,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,Histamine H4 receptor,Q9H3N8,HRH4,HRH4_HUMAN,Homo sapiens
delavirdine,CHEMBL593,DB00705,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,Malate dehydrogenase cytoplasmic ,P40925,MDH1,MDHC_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor alpha-1/beta-2/gamma-2,P14867,GABRA1,GBRA1_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor alpha-1/beta-2/gamma-2,P18507,GABRB2,GBRB2_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor alpha-1/beta-2/gamma-2,P47870,GABRG2,GBRG2_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,O14764,GABRA2,GBRA2_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P14867,GABRA3,GBRA3_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P18505,GABRA4,GBRA4_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P18507,GABRA5,GBRA5_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P28472,GABRA6,GBRA6_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P31644,GABRB1,GBRB1_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P47869,GABRB3,GBRB3_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P47870,GABRD,GBRD_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P48169,GABRE,GBRE_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,P78334,GABRG1,GBRG1_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,Q8N1C3,GABRG3,GBRG3_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,Q99928,GABRP,GBRP_HUMAN,Homo sapiens
delorazepam,CHEMBL268254,DB01511,ClC1=CC=C2NC(=O)CN=C(C2=C1)C1=C(Cl)C=CC=C1,GABA-A receptor; anion channel,Q9UN88,GABRQ,GBRT_HUMAN,Homo sapiens
demecarium,CHEMBL1200514,DB00944,CN(CCCCCCCCCCN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C,Acetylcholinesterase,P22303,ACHE,ACES_HUMAN,Homo sapiens
demeclocycline,CHEMBL1591,DB00618,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)C4=C(Cl)C=CC(O)=C4C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O,Estrogen receptor beta,Q92731,ESR2,ESR2_HUMAN,Homo sapiens
denileukin diftitox,CHEMBL1201550,NA,NA,Interleukin-2 receptor,P01589,IL2RA,IL2RA_HUMAN,Homo sapiens
denileukin diftitox,CHEMBL1201550,NA,NA,Interleukin-2 receptor,P14784,IL2RB,IL2RB_HUMAN,Homo sapiens
denileukin diftitox,CHEMBL1201550,NA,NA,Interleukin-2 receptor,P31785,IL2RG,IL2RG_HUMAN,Homo sapiens
denopamine,CHEMBL493682,NA,COC1=CC=C(CCNC[C@H](O)C2=CC=C(O)C=C2)C=C1OC,Beta-1 adrenergic receptor,P08588,ADRB1,ADRB1_HUMAN,Homo sapiens
denopamine,CHEMBL493682,NA,COC1=CC=C(CCNC[C@H](O)C2=CC=C(O)C=C2)C=C1OC,Solute carrier family 22 member 1,O15245,SLC22A1,S22A1_HUMAN,Homo sapiens
denosumab,CHEMBL1237023,NA,NA,Tumor necrosis factor ligand superfamily member 11,O14788,TNFSF11,TNF11_HUMAN,Homo sapiens
deoxycholic acid,CHEMBL406393,DB03619,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,fMet-Leu-Phe receptor,P21462,FPR1,FPR1_HUMAN,Homo sapiens
deoxycholic acid,CHEMBL406393,DB03619,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,G-protein coupled bile acid receptor 1,Q8TDU6,GPBAR1,GPBAR_HUMAN,Homo sapiens
dequalinium,CHEMBL333826,DB04209,CC1=[N+](CCCCCCCCCC[N+]2=C(C)C=C(N)C3=CC=CC=C23)C2=CC=CC=C2C(N)=C1,Small conductance calcium-activated potassium channel protein 1,Q92952,KCNN1,KCNN1_HUMAN,Homo sapiens
dequalinium,CHEMBL333826,DB04209,CC1=[N+](CCCCCCCCCC[N+]2=C(C)C=C(N)C3=CC=CC=C23)C2=CC=CC=C2C(N)=C1,Small conductance calcium-activated potassium channel protein 3,Q9UGI6,KCNN3,KCNN3_HUMAN,Homo sapiens
dequalinium,CHEMBL333826,DB04209,CC1=[N+](CCCCCCCCCC[N+]2=C(C)C=C(N)C3=CC=CC=C23)C2=CC=CC=C2C(N)=C1,Protein kinase C alpha type,P17252,PRKCA,KPCA_HUMAN,Homo sapiens
dequalinium,CHEMBL333826,DB04209,CC1=[N+](CCCCCCCCCC[N+]2=C(C)C=C(N)C3=CC=CC=C23)C2=CC=CC=C2C(N)=C1,cGMP-gated cation channel alpha-1,P29973,CNGA1,CNGA1_HUMAN,Homo sapiens
dequalinium,CHEMBL333826,DB04209,CC1=[N+](CCCCCCCCCC[N+]2=C(C)C=C(N)C3=CC=CC=C23)C2=CC=CC=C2C(N)=C1,Cyclic nucleotide-gated olfactory channel,Q16280,CNGA2,CNGA2_HUMAN,Homo sapiens
desalkylflurazepam,NA,NA,FC1=C(C=CC=C1)C1=NCC(=O)NC2=CC=C(Cl)C=C12,GABA-A receptor alpha-1/beta-2/gamma-2,P14867,GABRA1,GBRA1_HUMAN,Homo sapiens
desalkylflurazepam,NA,NA,FC1=C(C=CC=C1)C1=NCC(=O)NC2=CC=C(Cl)C=C12,GABA-A receptor alpha-1/beta-2/gamma-2,P18507,GABRB2,GBRB2_HUMAN,Homo sapiens
desalkylflurazepam,NA,NA,FC1=C(C=CC=C1)C1=NCC(=O)NC2=CC=C(Cl)C=C12,GABA-A receptor alpha-1/beta-2/gamma-2,P47870,GABRG2,GBRG2_HUMAN,Homo sapiens
deserpidine,CHEMBL1200515,DB01089,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C(NC5=CC=CC=C45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)C1=CC(OC)=C(OC)C(OC)=C1,Synaptic vesicular amine transporter,Q05940,SLC18A2,VMAT2_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,Glycine receptor (alpha-1/beta),P23415,GLRA1,GLRA1_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,Glycine receptor (alpha-1/beta),P48167,GLRB,GLRB_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,O00591,GABRA1,GBRA1_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,O14764,GABRA2,GBRA2_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P14867,GABRA3,GBRA3_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P18505,GABRA4,GBRA4_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P18507,GABRA5,GBRA5_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P28472,GABRA6,GBRA6_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P31644,GABRB1,GBRB1_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P34903,GABRB2,GBRB2_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P47869,GABRB3,GBRB3_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P47870,GABRD,GBRD_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P48169,GABRE,GBRE_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,P78334,GABRG1,GBRG1_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,Q16445,GABRG2,GBRG2_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,Q8N1C3,GABRG3,GBRG3_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,Q99928,GABRP,GBRP_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,GABA-A receptor; anion channel,Q9UN88,GABRQ,GBRT_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,Potassium channel subfamily K member 10,P57789,KCNK10,KCNKA_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,Potassium channel subfamily K member 18,Q7Z418,KCNK18,KCNKI_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,Potassium channel subfamily K member 3,O14649,KCNK3,KCNK3_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,Potassium channel subfamily K member 9,Q9NPC2,KCNK9,KCNK9_HUMAN,Homo sapiens
desflurane,CHEMBL1200733,DB01189,FC(F)OC(F)C(F)(F)F,Potassium channel subfamily K member 2,O95069,KCNK2,KCNK2_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Histamine H1 receptor,P35367,HRH1,HRH1_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,D(2) dopamine receptor,P14416,DRD2,DRD2_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,5-hydroxytryptamine receptor 1A,P08908,HTR1A,5HT1A_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,G protein-activated inward rectifier potassium channel 2,P48051,KCNJ6,KCNJ6_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,G protein-activated inward rectifier potassium channel 4,P48544,KCNJ5,KCNJ5_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Sodium-dependent dopamine transporter,Q01959,SLC6A3,SC6A3_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Solute carrier family 22 member 1,O15245,SLC22A1,S22A1_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Sodium channel alpha subunits; brain (Types I II III),P35498,SCN1A,SCN1A_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Sodium channel alpha subunits; brain (Types I II III),Q99250,SCN2A,SCN2A_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Sodium channel alpha subunits; brain (Types I II III),Q9NY46,SCN3A,SCN3A_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Alpha-1A adrenergic receptor,P35348,ADRA1A,ADA1A_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,5-hydroxytryptamine receptor 2A,P28223,HTR2A,5HT2A_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Sodium-dependent noradrenaline transporter,P23975,SLC6A2,SC6A2_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Sodium-dependent serotonin transporter,P31645,SLC6A4,SC6A4_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Voltage-dependent calcium channel gamma-1 subunit,Q06432,CACNG1,CCG1_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Muscarinic acetylcholine receptor M5,P08912,CHRM5,ACM5_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Muscarinic acetylcholine receptor M4,P08173,CHRM4,ACM4_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Muscarinic acetylcholine receptor M3,P20309,CHRM3,ACM3_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Muscarinic acetylcholine receptor M2,P08172,CHRM2,ACM2_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Muscarinic acetylcholine receptor M1,P11229,CHRM1,ACM1_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Alpha-2B adrenergic receptor,P18089,ADRA2B,ADA2B_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,5-hydroxytryptamine receptor 2C,P28335,HTR2C,5HT2C_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,5-hydroxytryptamine receptor 2B,P41595,HTR2B,5HT2B_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Potassium voltage-gated channel subfamily H member 2,Q12809,KCNH2,KCNH2_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,5-hydroxytryptamine receptor 1B,P28222,HTR1B,5HT1B_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Alpha-2A adrenergic receptor,P08913,ADRA2A,ADA2A_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,D(1A) dopamine receptor,P21728,DRD1,DRD1_HUMAN,Homo sapiens
desipramine,CHEMBL72,DB01151,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,Equilibrative nucleoside transporter 4,Q7RTT9,SLC29A4,S29A4_HUMAN,Homo sapiens
desirudin,CHEMBL1201662,NA,NA,Prothrombin,P00734,F2,THRB_HUMAN,Homo sapiens
deslanoside,CHEMBL1614,DB01078,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,Sodium/potassium-transporting ATPase,P05023,ATP1A1,AT1A1_HUMAN,Homo sapiens
deslanoside,CHEMBL1614,DB01078,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,Sodium/potassium-transporting ATPase,P05026,ATP1A2,AT1A2_HUMAN,Homo sapiens
deslanoside,CHEMBL1614,DB01078,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,Sodium/potassium-transporting ATPase,P13637,ATP1A3,AT1A3_HUMAN,Homo sapiens
